id_choque,tipo_choque,data_choque,hora_choque,latitude_choque,longitude_choque,velocidade_choque,posicao_choque,trecho_choque,forca_maxima_choque,ACT_choque,PEG_choque,id_vagao,id_viagem,tipo_engate
7245,0,16/10/2022,18:42:17,-21.89953366,-48.07827854,12.96,231.14,T2,136.0106644,22.44438653,91.08776533,473,5,F
7246,0,16/10/2022,18:42:17,-21.89953661,-48.0782775,12.96,231.14,T2,136.2179161,22.45342417,91.10338791,473,5,F
7247,0,16/10/2022,18:42:18,-21.89955615,-48.07826974,12.96,231.14,T2,141.5150257,22.32990973,91.10764861,473,5,F
7248,0,16/10/2022,18:42:19,-21.89958672,-48.07825915,12.96,231.1341,T2,136.1752466,22.85108039,91.13463307,473,5,F
7249,0,16/10/2022,18:42:19,-21.89959824,-48.07825555,12.96,231.1305,T2,136.5592718,22.85409294,91.15593658,473,5,F
7250,0,16/10/2022,18:42:19,-21.8996024,-48.07825404,12.96,231.13,T2,137.1749313,22.94296308,91.16161752,473,5,F
7251,0,16/10/2022,18:42:19,-21.89960675,-48.0782523,12.96,231.13,T2,136.675089,23.14932256,91.15309611,473,5,F
7252,0,16/10/2022,18:42:20,-21.89963045,-48.07824284,12.96,231.1298,T2,140.60068,23.89191543,91.15167588,473,5,F
7253,0,16/10/2022,18:42:20,-21.8996378,-48.07824014,12.96,231.12735,T2,137.1261662,23.08304652,91.13463307,473,5,F
7254,0,16/10/2022,18:42:24,-21.899761,-48.0781911,12.96,231.11,T2,140.4909585,24.22932071,91.15877705,473,5,F
7255,0,16/10/2022,18:42:25,-21.8997676,-48.07818824,12.96,231.11,T2,136.4068809,24.6119142,91.16729846,473,5,F
7256,0,16/10/2022,18:42:26,-21.89980541,-48.07817294,12.96,231.11,T2,136.303255,23.65392421,91.12895213,473,5,F
7257,0,16/10/2022,18:42:31,-21.8999512,-48.07811352,12.96,231.09,T2,136.0411426,23.07250261,91.140314,473,5,F
7258,0,16/10/2022,18:42:34,-21.9000504,-48.07807286,12.96,231.08,T2,136.8945319,21.8930904,91.1360533,473,5,F
7259,0,16/10/2022,18:42:34,-21.90005325,-48.07807163,12.96,231.08,T2,136.5409849,21.92924096,91.14599494,473,5,F
7260,0,16/10/2022,18:42:34,-21.9000648,-48.07806662,12.96,231.08,T2,139.8265339,22.45493044,91.15451635,473,5,F
7261,0,16/10/2022,18:42:35,-21.90007545,-48.07806201,12.96,231.08,T2,136.9737752,23.66296185,91.15451635,473,5,F
7262,0,16/10/2022,18:42:35,-21.90007995,-48.07806006,12.96,231.08,T2,136.1630553,24.087731,91.16729846,473,5,F
7263,0,16/10/2022,18:42:37,-21.9001539,-48.07802701,12.96,231.06765,T2,136.4861242,22.54078803,91.11048908,473,5,F
7264,0,16/10/2022,18:42:37,-21.9001569,-48.07802571,12.96,231.06665,T2,136.370307,22.78932317,91.11048908,473,5,F
7265,0,16/10/2022,18:42:44,-21.9003552,-48.0779339,12.96,231.04055,T2,136.5166024,22.02564247,91.13321283,473,5,F
7266,0,16/10/2022,18:42:44,-21.90035895,-48.07793203,12.96,231.04,T2,136.0350469,21.64606153,91.13037236,473,5,F
7267,0,16/10/2022,18:42:46,-21.9004258,-48.0778996,12.96,231.03635,T2,136.3459245,23.58312935,91.12469143,473,5,F
7268,0,16/10/2022,18:42:53,-21.90060768,-48.0778086,12.96,231.01435,T2,138.8329449,24.46128684,91.10338791,473,5,F
7269,0,16/10/2022,18:42:53,-21.90061888,-48.0778026,12.96,231.01035,T2,138.1014683,24.54111934,91.11759025,473,5,F
7270,0,16/10/2022,18:42:57,-21.900744,-48.0777369,12.96,230.99695,T2,136.742141,23.53342232,91.10764861,473,5,F
7271,0,16/10/2022,18:42:57,-21.9007479,-48.07773469,12.96,230.99565,T2,137.7296344,23.09057789,91.10622838,473,5,F
7272,0,16/10/2022,18:43:02,-21.90087825,-48.077664,12.96,230.98,T2,136.01676,23.62530501,91.11332955,473,5,F
7273,0,16/10/2022,18:43:02,-21.90088452,-48.07766065,12.96,230.98,T2,137.4614263,23.51835959,91.12185096,473,5,F
7274,0,16/10/2022,18:43:04,-21.90092414,-48.07763842,12.96,230.9749,T2,137.3578004,22.56790096,91.11332955,473,5,F
7275,0,16/10/2022,18:43:11,-21.90113671,-48.07751319,12.96,230.95,T2,137.4126612,23.46714628,91.16161752,473,5,F
7276,0,16/10/2022,18:43:13,-21.9011853,-48.07748468,12.96,230.9427,T2,136.1569597,21.70028738,91.10622838,473,5,F
7277,0,16/10/2022,18:43:13,-21.9011895,-48.07748213,12.96,230.9412,T2,136.7909061,21.53309101,91.09770697,473,5,F
7278,0,16/10/2022,18:43:16,-21.90127506,-48.07742889,12.96,230.931,T2,137.1566444,24.41007354,91.15451635,473,5,F
